,1. open,2. high,3. low,4. close,5. volume,ticker
2024-09-20,2957.5,2991.15,2911.2,2973.1,4365852.0,RELIANCE.BSE
2024-09-13,2932.1,2971.0,2892.3,2944.45,2543366.0,RELIANCE.BSE
2024-09-06,3031.65,3053.35,2922.75,2929.85,4081122.0,RELIANCE.BSE
2024-08-30,3015.0,3083.95,2985.35,3019.75,3120914.0,RELIANCE.BSE
2024-08-23,2967.45,3022.65,2963.0,2999.95,2426918.0,RELIANCE.BSE
2024-08-16,2932.4,2961.0,2908.0,2956.15,4625648.0,RELIANCE.BSE
2024-08-09,2950.05,2960.1,2865.8,2948.3,2244080.0,RELIANCE.BSE
2024-08-02,3039.95,3054.0,2985.8,2998.45,1900522.0,RELIANCE.BSE
2024-07-26,3070.15,3073.35,2927.1,3017.85,2953424.0,RELIANCE.BSE
2024-07-19,3200.15,3211.45,3104.15,3109.5,1897014.0,RELIANCE.BSE
2024-07-12,3179.9,3217.9,3126.75,3193.45,2511606.0,RELIANCE.BSE
2024-07-05,3129.95,3197.65,3085.2,3180.05,2815712.0,RELIANCE.BSE
2024-06-28,2892.0,3161.45,2874.4,3131.85,4718232.0,RELIANCE.BSE
2024-06-21,2970.2,2975.2,2880.5,2906.8,2404244.0,RELIANCE.BSE
2024-06-14,2943.75,2986.55,2910.0,2954.55,1259032.0,RELIANCE.BSE
2024-06-07,2974.9,3029.9,2719.15,2939.45,5476656.0,RELIANCE.BSE
2024-05-31,2960.8,2967.45,2841.5,2859.6,2334780.0,RELIANCE.BSE
2024-05-24,2859.0,2983.55,2852.9,2959.8,1790804.0,RELIANCE.BSE
2024-05-17,2798.05,2874.85,2768.05,2870.7,1614968.0,RELIANCE.BSE
2024-05-10,2875.0,2881.45,2775.2,2815.15,2161956.0,RELIANCE.BSE
2024-05-03,2902.95,2965.0,2832.7,2868.5,1800162.0,RELIANCE.BSE
2024-04-26,2950.0,2986.05,2885.2,2903.0,2342712.0,RELIANCE.BSE
2024-04-19,2908.65,2971.5,2886.75,2941.6,2391462.0,RELIANCE.BSE
2024-04-12,2923.4,2980.5,2923.4,2935.1,2101156.0,RELIANCE.BSE
2024-04-05,2985.0,2988.5,2900.5,2919.95,2021782.0,RELIANCE.BSE
2024-03-28,2888.6,3011.25,2877.0,2976.8,3674306.0,RELIANCE.BSE
2024-03-22,2837.2,2920.0,2833.65,2909.9,2134194.0,RELIANCE.BSE
2024-03-15,2984.7,2984.7,2826.9,2837.25,1703364.0,RELIANCE.BSE
2024-03-07,2981.0,3024.8,2951.25,2958.1,1415592.0,RELIANCE.BSE
2024-03-01,2989.75,2999.85,2900.55,2986.0,1850402.0,RELIANCE.BSE
2024-02-23,2921.35,2996.15,2907.55,2986.35,2473748.0,RELIANCE.BSE
2024-02-16,2922.3,2968.4,2885.0,2921.35,2435254.0,RELIANCE.BSE
2024-02-09,2921.2,2944.15,2840.8,2922.3,2949370.0,RELIANCE.BSE
2024-02-02,2713.2,2949.9,2713.2,2914.75,3955796.0,RELIANCE.BSE
2024-01-25,2732.15,2742.75,2645.0,2710.35,5572946.0,RELIANCE.BSE
2024-01-19,2746.9,2792.65,2700.0,2735.05,2066764.0,RELIANCE.BSE
2024-01-12,2612.4,2746.45,2568.3,2740.1,3273250.0,RELIANCE.BSE
2024-01-05,2581.05,2634.0,2573.5,2606.75,1778854.0,RELIANCE.BSE
2023-12-29,2570.0,2614.8,2563.0,2584.85,2452696.0,RELIANCE.BSE
2023-12-22,2494.2,2597.85,2491.05,2564.7,3938638.0,RELIANCE.BSE
2023-12-15,2452.15,2499.95,2406.3,2495.2,9468420.0,RELIANCE.BSE
2023-12-08,2440.05,2475.7,2395.0,2456.2,21996258.0,RELIANCE.BSE
2023-12-01,2393.0,2411.75,2371.25,2393.45,15767190.0,RELIANCE.BSE
2023-11-24,2349.0,2402.4,2336.85,2394.3,2230918.0,RELIANCE.BSE
2023-11-17,2325.0,2373.7,2311.65,2355.85,2482258.0,RELIANCE.BSE
2023-11-10,2334.95,2341.0,2298.15,2314.3,3122966.0,RELIANCE.BSE
2023-11-03,2283.95,2335.0,2272.0,2319.05,3159250.0,RELIANCE.BSE
2023-10-27,2292.0,2306.7,2221.05,2265.25,3887262.0,RELIANCE.BSE
2023-10-20,2348.0,2367.15,2296.05,2299.15,3340392.0,RELIANCE.BSE
2023-10-13,2309.95,2359.0,2295.0,2350.7,5125930.0,RELIANCE.BSE
2023-10-06,2337.0,2337.0,2295.15,2317.9,2174328.0,RELIANCE.BSE
2023-09-29,2353.85,2384.0,2325.65,2346.5,2090458.0,RELIANCE.BSE
2023-09-22,2442.0,2451.55,2350.0,2354.05,6796962.0,RELIANCE.BSE
2023-09-15,2455.95,2489.7,2415.6,2460.05,2049058.0,RELIANCE.BSE
2023-09-08,2410.05,2455.65,2406.0,2449.05,2334636.0,RELIANCE.BSE
2023-09-01,2474.0,2483.5,2400.0,2413.05,4917266.0,RELIANCE.BSE
2023-08-25,2531.0,2554.9,2443.95,2469.95,3889804.0,RELIANCE.BSE
2023-08-18,2533.05,2582.15,2508.5,2556.7,3559392.0,RELIANCE.BSE
2023-08-11,2515.0,2558.3,2481.0,2548.0,2311960.0,RELIANCE.BSE
